name,model,M,chi2
SNAD211,nugent-sn91bg,-19.68766038651102,2899.8186965581367
SNAD212,nugent-sn2l,-15.696550215761944,2491.650845920283
SNAD213,nugent-sn2l,-17.95644959722901,2260.1586033251933
SNAD214,nugent-sn2l,-17.8910485054532,1863.8817782387637
SNAD215,nugent-sn2n,-13.717737081682586,2965.5350187225067
SNAD216,nugent-sn2l,-19.426106421754486,2404.8850741181136
SNAD217,nugent-sn2l,-20.25138545967154,4484.607404186572
SNAD218,nugent-sn1a,-19.21847750012513,1623.603640013525
SNAD219,nugent-sn1bc,-21.340894043426623,6734.878026662102
SNAD220,nugent-sn2l,-18.505666994891424,3123.1540053777526
SNAD221,nugent-sn2p,-15.440811730845027,34662.68552120584
SNAD222,nugent-sn1a,-21.84753305391716,1257.8691314639068
SNAD223,nugent-sn2l,-19.59493633366376,2406.026503056413
SNAD224,nugent-sn2n,-19.57280621455965,1894.374843598155
SNAD225,nugent-sn2l,-21.972991389424823,3288.963031574982
SNAD226,nugent-sn1a,-21.39379648449133,2331.6681238823858
SNAD227,nugent-sn2l,-18.77969925530471,1602.3860214542287
SNAD228,nugent-sn2l,-18.492043286437266,1097.1138826046754
SNAD229,nugent-sn2l,-20.980371419422116,12430.601767808172
SNAD230,nugent-sn2l,-16.484635680424972,5503.359532733315
SNAD231,nugent-sn1a,-20.24295136382029,1444.0698328349388
SNAD232,nugent-sn2n,-14.797342670283438,4895.978981281511
SNAD233,nugent-sn2l,-17.454578804203436,2316.1845892046085
SNAD234,nugent-sn1a,-21.73672628895929,2389.726704528738
SNAD235,nugent-sn2p,-19.054647968487817,2856.2821836631565
SNAD236,nugent-sn2l,-22.43838810730831,10820.470214889752
SNAD237,nugent-sn2n,-22.691839307865184,3983.02237998518
SNAD238,nugent-sn2p,-14.399801928667031,9045.585660057288
SNAD239,nugent-sn2n,-13.62601849894379,1553.2460059131113
SNAD240,nugent-sn2n,-15.819292530837116,1509.4128141151546
SNAD241,nugent-sn2l,-18.80969050016696,2743.393777235781
SNAD242,nugent-sn2p,-17.45683646305449,3499.207367804525
SNAD243,nugent-sn2p,-20.67467413925013,10586.565462437966
SNAD244,nugent-sn2l,-19.63718201326833,2775.7371131338145
