name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v
SNAD107,nugent-hyper,-14.775269091186349,2527.449125746251,0.010076976750351017,58494.96226108513,-9.032403486624469e-09,0.01,3.1
SNAD107,nugent-sn1a,-22.533538255297774,2542.544414087738,0.2999997322719535,58365.196938447916,1.264119199867519e-09,0.01,3.1
SNAD108,nugent-sn91bg,-21.015843862493103,1141.6492859525852,0.20676731490125444,58279.67080068017,1.4417837885245647e-08,0.01,3.1
SNAD108,nugent-sn2l,-21.932641364831323,1317.3112057711764,0.2999998654260101,58279.63258899763,1.4316999971312251e-08,0.01,3.1
SNAD108,nugent-sn2n,-14.157593789586283,1356.0376756669875,0.01000000098757523,58278.94063524826,1.3841408826546017e-08,0.01,3.1
SNAD108,nugent-sn1a,-19.905604878855687,1498.595762166017,0.1298783027014342,58273.546770944246,1.2026473475241712e-08,0.01,3.1
SNAD108,nugent-sn1bc,-21.418832781143077,1578.7010063057603,0.2438464213444627,58275.914260588324,1.1837007980105563e-08,0.01,3.1
SNAD108,nugent-hyper,-20.597653879980026,1621.1261020973463,0.17385516619340904,58279.602919135985,1.1920878915945484e-08,0.01,3.1
SNAD108,nugent-sn91t,-21.932642486196276,1718.2386765469766,0.2999999999999971,58268.35870200752,8.461735451228076e-09,0.01,3.1
SNAD108,nugent-sn2p,-19.629740847616606,3211.5317088153615,0.11544717537724568,58278.87828582354,9.970414437404835e-09,0.01,3.1
SNAD109,nugent-sn2p,-20.15633216663188,992.1591411618807,0.18160457961420587,58225.56631387314,6.335287511217976e-09,0.02,3.1
SNAD109,nugent-sn1a,-21.386631486068897,1031.4602851480745,0.29999999998471044,58219.84792251429,4.676964861663513e-09,0.02,3.1
SNAD109,nugent-sn91t,-21.386631484503123,1064.6881522349718,0.29999999979680364,58216.59669900699,4.00606231905125e-09,0.02,3.1
SNAD109,nugent-sn2n,-21.38663148619629,1069.8329015787617,0.29999999999999877,58224.938879610905,3.6013416581950078e-09,0.02,3.1
SNAD109,nugent-sn2l,-20.98489194113972,1081.6606839863784,0.2551965441353417,58231.269284086295,6.532787808814276e-09,0.02,3.1
SNAD109,nugent-sn91bg,-19.96726898769956,1090.9370828647263,0.16783422421587632,58231.55206005607,6.8354470511870595e-09,0.02,3.1
SNAD109,nugent-sn1bc,-20.495058077899596,1093.1766024541234,0.2089260836806484,58224.002366245986,5.821423839623832e-09,0.02,3.1
SNAD109,nugent-hyper,-20.472678758226156,1098.3065924302232,0.2070098303364047,58228.48241671086,5.910496107911935e-09,0.02,3.1
SNAD110,nugent-sn2l,-15.920432449709121,2008.2683155531402,0.026304031273156704,58249.59370543262,5.001265439261768e-09,0.01,3.1
SNAD110,nugent-sn2p,-15.97159526124317,2033.1992061211545,0.026918948583186914,58249.323288928426,3.4602049215666248e-09,0.01,3.1
SNAD110,nugent-sn91bg,-19.45041472943935,2058.873876247843,0.12491371475420568,58248.95401191696,3.943474657251559e-09,0.01,3.1
SNAD110,nugent-sn1bc,-20.41591199585424,2124.8950230364862,0.18752762656127367,58244.53975367677,2.86729278676869e-09,0.01,3.1
SNAD110,nugent-hyper,-16.948303499133534,2125.3118214608517,0.041754739964359015,58248.27018323984,3.455258025297395e-09,0.01,3.1
SNAD110,nugent-sn2n,-21.568932602486722,2506.096065816851,0.2999976137823583,58359.93679251481,4.682583286940947e-09,0.01,3.1
