name,model,M,mse,z,t0,amplitude,mwebv,mwr_v,max_mag
SNAD160,nugent-sn1bc,-21.700067270990544,1.2674252180772251e-09,0.2670257322758597,58310.51665690427,2.2305259995282622e-08,0.02,3.1,19.034227
SNAD161,nugent-sn1bc,-20.555793645289757,1.6089473094634588e-10,0.182387834404989,58193.06356696627,7.308033730930653e-09,0.01,3.1,19.248272
SNAD162,nugent-sn2p,-19.835097409671334,1.0516473371530764e-10,0.1930127727415279,58289.9476475469,3.9269293862511275e-09,0.03,3.1,20.105434
SNAD163,nugent-sn1bc,-19.74103477713158,1.8919811182640943e-10,0.1768742395108203,58355.306340494906,5.089996550305547e-09,0.04,3.1,19.989283
SNAD164,nugent-sn2p,-20.158691931857295,2.4515532623544756e-10,0.1896569712460663,58336.41639331094,5.797747958126138e-09,0.04,3.1,19.739506
SNAD165,nugent-sn2n,-15.583601143373931,3.2780567410123667e-10,0.0236114801574251,58205.69377972193,8.318678908920807e-09,0.03,3.1,19.55308
SNAD166,nugent-sn1bc,-19.82369948668348,3.6904416110796937e-10,0.1710174283379934,58343.45096947911,7.036344347367093e-09,0.02,3.1,19.825905
SNAD167,nugent-sn2n,-15.564363037417143,4.8754213463612764e-09,0.0101073495357169,58190.4562077439,7.604066798528337e-08,0.03,3.1,17.707966
SNAD168,nugent-sn2p,-19.237170356333515,8.416424488627777e-10,0.1192092202862981,58193.5300680044,1.0952956263705536e-08,0.02,3.1,19.558855
SNAD169,nugent-sn2p,-19.272839577091887,1.8575988166962948e-10,0.1190941173869303,58552.83787232964,6.612409969048057e-09,0.03,3.1,19.733112
SNAD170,nugent-sn1a,-20.594053897773136,1.9323233697882556e-10,0.185727362765476,58182.35448224815,1.2674556985867628e-08,0.03,3.1,19.253681
SNAD171,nugent-sn1bc,-14.908263537367514,3.199073682207185e-09,0.0102226940006604,58188.05770048438,4.0513881616449224e-08,0.02,3.1,18.317074
SNAD172,nugent-sn2n,-21.92370751601692,9.300350261052331e-10,0.2993742771974552,58187.47406182374,8.624772324257253e-09,0.03,3.1,19.095089
SNAD173,nugent-sn2n,-17.26422814304172,1.4889350622678155e-09,0.0410100311435849,58183.98919216034,2.24826676075524e-08,0.02,3.1,19.098894
SNAD174,nugent-sn1bc,-22.851669505541,5.243770138117364e-10,0.2982518529335101,58232.433957714406,2.6733810983707707e-08,0.03,3.1,18.15774
SNAD175,nugent-sn2p,-18.98522112819091,2.9190655155697546e-10,0.1185140064983962,58224.049721397736,8.172931308035702e-09,0.02,3.1,19.79713
SNAD178,nugent-sn1a,-19.4280075932959,8.245261102734845e-11,0.1375809735124351,58275.71904147508,4.2570702716580705e-09,0.03,3.1,19.70464
SNAD179,nugent-sn1bc,-20.48236590036449,2.6555553889504557e-10,0.1899400694869868,58236.07435102682,1.0504439431119711e-08,0.01,3.1,19.41943
SNAD180,nugent-sn1bc,-21.35913541812985,2.008695096307473e-10,0.2831764842290349,58337.119139363705,8.032989386439173e-09,0.03,3.1,19.520943
SNAD181,nugent-sn1bc,-21.12229998385749,1.222409721694796e-09,0.1711448033023235,58311.10372899687,2.9053465014297163e-08,0.05,3.1,18.529087
SNAD182,nugent-sn2p,-19.441417311229586,2.3009068058125047e-10,0.1298773872544641,58226.150165128085,8.309967260272352e-09,0.03,3.1,19.555544
SNAD183,nugent-sn1bc,-21.050812331041318,3.4236211941745886e-10,0.2197498813579267,58411.711838374606,1.1670649384624913e-08,0.05,3.1,19.204586
SNAD184,nugent-sn1bc,-20.555574093031133,1.1837094578610675e-10,0.1896528166525036,58283.8607377187,7.619372127558152e-09,0.02,3.1,19.342571
SNAD185,nugent-sn1bc,-21.67917321511621,1.4388784855546655e-10,0.2641383114911222,58424.122468510985,1.1475835357083577e-08,0.02,3.1,19.028206
SNAD186,nugent-sn2p,-19.96333096287896,3.3951371212974346e-10,0.1202153601497854,58190.14519747358,1.0581559557081154e-08,0.03,3.1,18.852352
SNAD187,nugent-sn1a,-22.63456884498316,1.3916008802465536e-09,0.2982234856894623,58454.708539675805,1.3591748463352944e-08,0.01,3.1,18.374603
SNAD188,nugent-sn2p,-20.43983083545812,1.2125840980137522e-10,0.1894437557319679,58197.4610270121,4.314545922403944e-09,0.01,3.1,19.455654
SNAD189,nugent-sn2p,-19.98502636685221,1.4640602133874474e-10,0.1946152145241192,58230.44067490125,4.900592622356837e-09,0.01,3.1,19.97548
SNAD190,nugent-sn2n,-15.80026796501959,2.7272838879663455e-11,0.0251328707131199,58595.20389849549,7.764992653881337e-09,0.04,3.1,19.47445
SNAD191,nugent-sn1a,-21.538535211845865,3.718583377152004e-11,0.29332653411811,58621.85322085673,7.504087453253354e-09,0.01,3.1,19.429295
SNAD192,nugent-sn1a,-18.54218836587865,4.146182215982173e-11,0.0736708535971521,58575.06741295232,1.4748545341544216e-08,0.03,3.1,19.142923
SNAD193,nugent-sn2n,-15.604964048652931,5.361655650752227e-11,0.0194258040036715,58549.34748607954,1.0844890006312158e-08,0.01,3.1,19.101248
SNAD194,nugent-sn2n,-15.585740086855807,2.929300463776961e-11,0.0189617903625051,58537.553140845725,1.2187782002179846e-08,0.03,3.1,19.067223
SNAD195,nugent-sn2n,-20.91947988423476,4.08124338996456e-11,0.2178985614146195,58606.86321381855,5.912154681679711e-09,0.02,3.1,19.31529
SNAD196,nugent-sn2n,-16.527924240629876,5.158399749355054e-11,0.0273485013288815,58578.926888026486,7.731517759964218e-09,0.01,3.1,18.933798
SNAD197,nugent-sn2n,-16.87254573140694,4.146210562768572e-11,0.0332824166048038,58628.78127995098,1.0383809342736749e-08,0.02,3.1,19.025026
SNAD198,nugent-sn2n,-18.68282108712988,3.3717634020672897e-11,0.0890138724393099,58604.324950386,3.6122180298089183e-09,0.02,3.1,19.435766
SNAD199,nugent-sn2n,-19.96296124228141,7.632900796986085e-11,0.1122663616110246,58613.97266935137,8.70587140264725e-09,0.03,3.1,18.692999
SNAD200,nugent-sn2n,-16.566575637448896,3.3921734488342195e-11,0.0326127881057205,58537.6512151993,1.123702432017567e-08,0.08,3.1,19.2858
SNAD201,nugent-sn2n,-21.38801628637996,2.8902014816129167e-11,0.2915583293000933,58564.07736721512,3.946347360046404e-09,0.02,3.1,19.56473
SNAD202,nugent-sn2l,-19.408402202996264,6.007192936365782e-11,0.1327384967320136,59382.91070533381,8.51289402826809e-10,0.04,3.1,19.639812
SNAD203,nugent-sn2n,-15.567040057998614,2.8040297035173844e-11,0.0230962395961936,58600.51978390331,5.717708953625616e-09,0.03,3.1,19.520903
SNAD204,nugent-sn2n,-16.564523188124554,3.1601660312576523e-11,0.034238935805212,58583.3498469268,7.860264818796214e-09,0.04,3.1,19.544186
SNAD205,nugent-sn2n,-15.784367002966505,2.8416340752181827e-11,0.0245069430310901,58570.141131852935,8.908078627801411e-09,0.03,3.1,19.434582
SNAD206,nugent-sn2n,-21.725370682691988,4.543064519312294e-11,0.2979496620613124,58628.72150352357,6.920162838041153e-09,0.1,3.1,19.281506
SNAD207,nugent-sn2n,-17.8739746674547,9.283624727591124e-11,0.0470593327103808,58583.75542359,1.2782065854613713e-08,0.03,3.1,18.79736
SNAD208,nugent-sn2p,-19.42224662251745,1.0899357503918672e-10,0.1185204201018612,58560.055063432286,5.908536618386967e-09,0.03,3.1,19.360231
SNAD209,nugent-sn2n,-15.363922195015157,3.8381486959248637e-11,0.0169390413116584,58561.39219876476,1.321982104949625e-08,0.04,3.1,19.04081
SNAD210,nugent-sn2n,-17.431730393458945,3.205748635060127e-11,0.051185718588349,58564.92967297622,7.168768844979673e-09,0.03,3.1,19.428507
SNAD211,nugent-sn2l,-18.429148329758497,4.956096507186218e-11,0.0726951086882811,58625.47088265768,5.7073394051071265e-09,0.05,3.1,19.72084
SNAD212,nugent-sn2l,-19.189380117267127,4.2038273161595765e-11,0.1177116374847158,58580.196970631885,7.455547698432771e-09,0.01,3.1,19.577095
SNAD213,nugent-sn2l,-19.4948426801014,2.7711564063526843e-11,0.121346697245712,58571.05205677021,1.0907716193108354e-08,0.04,3.1,19.34276
SNAD214,nugent-sn1bc,-20.060169882318384,6.366857293226185e-11,0.1952173524987223,58599.39160667119,4.833365828936924e-09,0.02,3.1,19.907803
SNAD215,nugent-sn1bc,-20.193189407514478,9.075522740007571e-11,0.1764444205961977,58615.60881001844,5.2144217878991765e-09,0.02,3.1,19.53129
SNAD216,nugent-sn2n,-15.431413522666627,3.2944012409245424e-11,0.0230492336619774,58639.69006355748,4.573038302643394e-09,0.01,3.1,19.65203
SNAD217,nugent-sn2l,-20.35890293483378,8.040698044518324e-11,0.1276610121147759,58570.73953374813,1.931259154551584e-08,0.05,3.1,18.597622
SNAD218,nugent-sn1a,-19.248520661017626,2.979776200722349e-11,0.1185552097926425,58632.8201781225,5.013025095838714e-09,0.04,3.1,19.534643
SNAD219,nugent-sn2n,-19.361871647434327,1.419885861667158e-10,0.0752718576701353,58216.75952294421,1.4080652766698636e-08,0.03,3.1,18.372313
SNAD220,nugent-sn1bc,-21.14117284412475,1.9615984948489116e-10,0.1979590563228452,58233.37710491475,1.0972428085697865e-08,0.03,3.1,18.86053
SNAD221,nugent-sn2n,-23.21276938302691,1.0303601645092715e-09,0.2996292503920532,58270.69899698808,2.3243914075816743e-08,0.05,3.1,17.808155
SNAD222,nugent-sn2n,-16.622999948504283,1.3675186839382535e-10,0.031652612800786,58213.913585985305,6.592777817133477e-09,0.01,3.1,19.16296
SNAD223,nugent-sn1bc,-20.46624729904842,1.7330392282812092e-10,0.1801144992472663,58216.73156911484,8.047401657629853e-09,0.02,3.1,19.307665
SNAD224,nugent-sn2n,-19.60193746734489,6.084523917766432e-11,0.108835183643904,58276.58988928724,7.975683218320024e-09,0.07,3.1,18.98176
SNAD225,nugent-sn1bc,-21.636344813089952,3.908456021531907e-10,0.1850683896375735,58192.69584519754,1.7887850467927923e-08,0.03,3.1,18.202831
SNAD226,nugent-sn2l,-18.042758109106583,3.9224472871834806e-11,0.0732800296816259,58227.73770064831,8.681818071978295e-09,0.02,3.1,19.630219
SNAD227,nugent-sn2n,-21.468687435728626,3.592918118609184e-11,0.2852943307046665,58165.5815515771,7.38477943898143e-09,0.01,3.1,19.429937
SNAD228,nugent-sn1bc,-20.431657315811805,5.863728847811787e-11,0.1948080067278824,58307.75056693152,7.099958147997799e-09,0.1,3.1,19.531242
SNAD229,nugent-sn2n,-15.39052565704781,3.1570214784331005e-10,0.0136485257370832,58230.15065862985,7.508599738239725e-09,0.01,3.1,18.539837
SNAD230,nugent-sn1bc,-20.59089589167553,1.4926233579017348e-10,0.1740800857245204,58269.86858316636,7.31829359679676e-09,0.01,3.1,19.10123
SNAD231,nugent-sn1a,-20.479947433152024,2.6407347277480198e-11,0.2181112004156022,58208.1909644218,4.411442401016125e-09,0.01,3.1,19.7572
SNAD232,nugent-sn2n,-15.10233733648442,8.656660753675364e-11,0.01149500424123,58227.845288215634,1.8216920100656324e-08,0.03,3.1,18.451624
SNAD233,nugent-sn2l,-19.154162687969237,3.0220814513911163e-11,0.1119528066917238,58224.40679084762,1.2690908447415488e-08,0.05,3.1,19.495281
SNAD234,nugent-sn2n,-17.782569723750484,5.1369732408264795e-11,0.0561744510749529,58210.46422527346,5.021429652084603e-09,0.02,3.1,19.471
SNAD235,nugent-sn2n,-21.209447143796563,3.3092904696779894e-11,0.2930714255101435,58192.43065857536,3.3853607827826403e-09,0.03,3.1,19.756212
SNAD236,nugent-sn2n,-15.716000008159297,3.0351609646857954e-10,0.0114276495775157,58190.12201530037,3.6815319382063655e-08,0.03,3.1,17.82509
SNAD237,nugent-sn2n,-22.572847965148014,9.510552908399056e-11,0.2860284946839307,58278.93231607294,1.4446597386571088e-08,0.07,3.1,18.332176
SNAD238,nugent-sn2n,-16.347650136873405,4.7208445718913816e-11,0.0242628129724891,58306.01493263958,8.646551139586522e-09,0.02,3.1,19.269632
SNAD239,nugent-sn1bc,-20.28511754173721,8.173375047064269e-11,0.190434475666805,58291.56526260679,5.990382968133836e-09,0.02,3.1,19.62295
SNAD240,nugent-sn2n,-18.62906934463559,4.598782869290979e-11,0.0823078295944673,58240.84513505851,6.4243458265260076e-09,0.03,3.1,19.30959
SNAD241,nugent-sn1a,-21.67133518100752,3.2728092741808106e-11,0.2942262380379543,58208.696873338566,5.041335491911384e-09,0.03,3.1,19.488697
SNAD242,nugent-sn2p,-19.982201752264174,9.059073685145665e-11,0.1234412652483416,58268.92299802684,1.3399960449627217e-08,0.02,3.1,18.895481
SNAD243,nugent-sn2l,-20.813110368015508,1.930004129676198e-10,0.1245193309974656,58206.29912487886,4.143542282852449e-08,0.03,3.1,18.084953
SNAD244,nugent-sn2n,-15.98462877623977,3.6088894265085036e-11,0.0247850073829019,58202.339834784994,8.439867028981148e-09,0.05,3.1,19.259266
