name,model,M,mse,z,t0,amplitude,mwebv,mwr_v,max_mag
SNAD108,nugent-sn1bc,-21.4202931024298,1.5039516867470452e-10,0.24399127889685887,58275.920008415225,1.1848023959479744e-08,0.01,3.1,19.091373
SNAD108,nugent-sn2l,-21.893259425823526,1.6006098542491416e-10,0.2953077768849118,58279.51696755806,1.4369043615259846e-08,0.01,3.1,19.091373
SNAD108,nugent-sn2p,-21.912130268839956,2.0498628582519099e-10,0.29754761779674815,58278.69449860039,9.417416600450171e-09,0.01,3.1,19.091373
SNAD109,nugent-sn1a,-21.339220862340948,2.260803902896701e-10,0.29435967124375506,58219.83586130749,4.677358092902024e-09,0.02,3.1,19.637384
SNAD109,nugent-sn2n,-21.17632390780499,2.262751636503952e-10,0.27571530881326783,58225.046064580914,3.7195847167743927e-09,0.02,3.1,19.637384
SNAD109,nugent-sn1bc,-20.560562020795384,2.340097772367917e-10,0.21462951481922773,58224.10013672302,5.804837157222659e-09,0.02,3.1,19.637384
SNAD109,nugent-sn2p,-19.7045869067133,2.54719442424804e-10,0.15030821379495496,58225.823800849845,6.394521931204558e-09,0.02,3.1,19.637384
SNAD109,nugent-sn2l,-20.1894861352388,2.6278932838636444e-10,0.18412475912997034,58226.53958879144,8.421138616106622e-09,0.02,3.1,19.637384
SNAD110,nugent-sn1a,-21.244762056151128,8.70890154020096e-11,0.2633330892132969,58312.50737548336,2.4751273879408956e-09,0.01,3.1,19.584816
SNAD110,nugent-sn2n,-19.87633048728149,8.998953680621772e-11,0.14963957008351259,58359.47631114346,6.543071713764893e-09,0.01,3.1,19.584816
SNAD110,nugent-sn1bc,-20.208167972787496,1.0189571453929199e-10,0.17199340044695774,58244.73019102953,3.271749498492229e-09,0.01,3.1,19.584816
SNAD110,nugent-sn2p,-17.257972894402858,1.0523884635327912e-10,0.047941567192735825,58248.98290714003,3.6552722746660004e-09,0.01,3.1,19.584816
SNAD110,nugent-sn2l,-17.362579939399726,1.0758848516623635e-10,0.05022574957880402,58249.31332903974,5.178349831657854e-09,0.01,3.1,19.584816
SNAD111,nugent-sn1a,-19.391728537312165,4.4477383655782137e-10,0.13983467738745384,58280.76707665404,6.219122034480104e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2n,-16.216605985524613,4.789325493269808e-10,0.03478563174691283,58285.5386274434,5.936288696282988e-09,0.03,3.1,19.77927
SNAD111,nugent-sn1bc,-14.620804672744004,4.797750048298628e-10,0.01690320108375925,58284.4714739653,8.014297249341289e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2l,-17.360314672592107,5.984466069277515e-10,0.05793554302383393,58286.17995559178,9.548378444202648e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2p,-18.961558375371663,6.020967661176283e-10,0.11642625044005712,58286.55581553981,6.984546885603918e-09,0.03,3.1,19.77927
SNAD112,nugent-sn2n,-15.391539725341207,1.0055115110389617e-09,0.018916660762271137,58247.85626932613,1.1700365350301367e-08,0.03,3.1,19.256176
SNAD112,nugent-sn1a,-19.570350664641854,1.1026398564314252e-09,0.12077378818771688,58243.022514803575,1.295948192730732e-08,0.03,3.1,19.256176
SNAD112,nugent-sn2p,-19.442629053903442,1.1223864736064455e-09,0.11434861593849323,58248.45864504501,1.2600459139900957e-08,0.03,3.1,19.256176
SNAD112,nugent-sn1bc,-15.008094036412121,1.2938334946989545e-09,0.01589048150301706,58246.945271554636,1.5561813599471664e-08,0.03,3.1,19.256176
SNAD112,nugent-sn2l,-16.225170543399155,1.4919176416317473e-09,0.02759183733542273,58249.66203745156,2.1702977473971287e-08,0.03,3.1,19.256176
SNAD113,nugent-sn1a,-20.26992873414757,7.724329839601751e-10,0.1860456370086435,58328.804636606204,9.113965500968707e-09,0.02,3.1,19.58193
SNAD113,nugent-sn2p,-19.150688504208524,8.143350439967775e-10,0.11601758050703659,58336.27867497363,1.0247606879293048e-08,0.02,3.1,19.58193
SNAD113,nugent-sn1bc,-14.792382453740387,8.174532970209424e-10,0.01670630651436827,58334.82928453959,1.0987858853287885e-08,0.02,3.1,19.58193
SNAD113,nugent-sn2n,-20.72081569368474,8.302425275231027e-10,0.22405414457470296,58317.6695437024,9.575501966487273e-09,0.02,3.1,19.58193
SNAD113,nugent-sn2l,-19.379627740740695,1.0283886759153457e-09,0.12793492103403026,58335.28700186956,1.4621010333223182e-08,0.02,3.1,19.58193
SNAD114,nugent-sn2n,-16.04777770264905,1.5514571631711382e-09,0.02414939681102978,58252.86052899587,1.779336049683466e-08,0.02,3.1,19.138683
SNAD114,nugent-sn2p,-19.581161556777722,1.8189806056184726e-09,0.11538440548988955,58254.23391249165,1.828631762720272e-08,0.02,3.1,19.138683
SNAD114,nugent-sn1a,-19.824353221449,1.8644041181850988e-09,0.12801549162528889,58249.03944057126,1.816553505290887e-08,0.02,3.1,19.138683
SNAD114,nugent-sn2l,-19.670004241917184,2.260419451146223e-09,0.11985638462176217,58254.49161280238,2.7586098485505754e-08,0.02,3.1,19.138683
SNAD114,nugent-sn1bc,-15.02129669442084,2.362838564902845e-09,0.015153699677269572,58253.13618875463,2.1585973898988043e-08,0.02,3.1,19.138683
SNAD115,nugent-sn2n,-21.55415580287095,3.6948851153016483e-10,0.2949320260769489,58355.2491198843,4.547057847482189e-09,0.03,3.1,19.427298
SNAD115,nugent-sn1a,-21.54648100267626,3.813637253222167e-10,0.29402658648104185,58349.433175592254,5.98155242060788e-09,0.03,3.1,19.427298
SNAD115,nugent-sn1bc,-20.336440541289043,4.0301061926073587e-10,0.1793534234581789,58353.460716118956,7.593926012430643e-09,0.03,3.1,19.427298
SNAD115,nugent-sn2l,-19.843775716350237,4.449617024674534e-10,0.14587925272187943,58356.94776692463,9.349731488011355e-09,0.03,3.1,19.427298
SNAD115,nugent-sn2p,-19.594665661905104,4.4951807187199575e-10,0.1312658026367181,58357.01140899378,8.109794700739318e-09,0.03,3.1,19.427298
SNAD116,nugent-sn1a,-19.638113685235382,2.393064769935945e-10,0.15750515168228418,58539.47882130681,1.041905659124134e-08,0.02,3.1,19.81501
SNAD116,nugent-sn2l,-19.638208095161488,2.4164974967409085e-10,0.15751139878745968,58548.49896906772,1.4004169715866021e-08,0.02,3.1,19.81501
SNAD116,nugent-sn2n,-19.63807354649915,2.50768441830672e-10,0.15750249577187247,58545.472925050344,9.266065439932201e-09,0.02,3.1,19.81501
SNAD116,nugent-sn2p,-19.638018092531127,2.5091240960875184e-10,0.1574988265478217,58548.497752018964,1.4028916067757214e-08,0.02,3.1,19.81501
SNAD116,nugent-sn1bc,-19.638034673518263,3.0723452678331463e-10,0.15749992365405646,58542.44307609618,1.5704197393460243e-08,0.02,3.1,19.81501
SNAD118,nugent-sn2p,-19.37923715340105,1.306978044696315e-09,0.11568931507684699,58259.529861441406,1.1821065237094228e-08,0.02,3.1,19.346767
SNAD118,nugent-sn2n,-15.224395465010979,1.3388260491186612e-09,0.018270194575999585,58257.12059142661,1.1813880056429e-08,0.02,3.1,19.346767
SNAD118,nugent-sn1a,-20.283299386924213,1.4622887443228404e-09,0.16962702256392076,58253.0865079149,1.1415271084811765e-08,0.02,3.1,19.346767
