name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v,max_mag
SNAD112,nugent-sn2p,-19.412762960727736,1.1151877447407644e-09,0.11289332247876394,58248.436564841286,1.2586440547813371e-08,0.03,3.1,19.256176
SNAD112,nugent-sn1bc,-14.962751901679855,1.2944151154967656e-09,0.015565898350563108,58246.88075777808,1.561834486968242e-08,0.03,3.1,19.256176
SNAD112,nugent-sn2l,-16.79441494871263,1.4989118482095555e-09,0.03565081887772524,58249.58342747771,2.1649876599646882e-08,0.03,3.1,19.256176
SNAD113,nugent-sn1a,-20.296242527571785,7.731652212516845e-10,0.18808844449481338,58328.836458244135,9.089443590710918e-09,0.02,3.1,19.58193
SNAD113,nugent-sn2p,-19.152702712598597,8.132068595257063e-10,0.11611771829355451,58336.3410596855,1.022153140257415e-08,0.02,3.1,19.58193
SNAD113,nugent-sn1bc,-14.828728152268823,8.157867168926968e-10,0.0169847508417918,58334.832326018644,1.0952167653775246e-08,0.02,3.1,19.58193
SNAD113,nugent-sn2n,-20.705491012901092,8.300343773948334e-10,0.22265256516611817,58317.74049454347,9.580317626650473e-09,0.02,3.1,19.58193
SNAD113,nugent-sn2l,-19.412079152974343,9.68194273556227e-10,0.1297143618213396,58337.833677992465,1.331850472101821e-08,0.02,3.1,19.58193
SNAD114,nugent-sn2n,-15.334214571195083,1.5559659480196729e-09,0.01747225155009177,58252.8267495634,1.80526747448322e-08,0.02,3.1,19.138683
SNAD114,nugent-sn2p,-19.578626027444088,1.816671525614277e-09,0.11525911288648275,58254.26734467682,1.8239852774473857e-08,0.02,3.1,19.138683
SNAD114,nugent-sn1a,-20.00835876735185,1.870487398230975e-09,0.1384228372756846,58248.91138082791,1.7993926762264707e-08,0.02,3.1,19.138683
SNAD114,nugent-sn2l,-19.67454603297282,2.2640747796529078e-09,0.12008932523047261,58254.490802092376,2.760181968547936e-08,0.02,3.1,19.138683
SNAD114,nugent-sn1bc,-15.411009047826148,2.3674361425824223e-09,0.018092832413592684,58253.07426395693,2.1550073022342027e-08,0.02,3.1,19.138683
SNAD115,nugent-sn2n,-21.54675652330573,3.6961323142992127e-10,0.29405904690108753,58355.26996857691,4.55528916605251e-09,0.03,3.1,19.427298
SNAD115,nugent-sn1a,-21.56927874064887,3.814138392156868e-10,0.2967236766374629,58349.41780750463,5.970962609791343e-09,0.03,3.1,19.427298
SNAD115,nugent-sn1bc,-20.308226212979143,4.0239877371812503e-10,0.17725835510533408,58353.42399951999,7.575615649027431e-09,0.03,3.1,19.427298
SNAD115,nugent-sn2l,-19.848139609390664,4.451111976450021e-10,0.14614830783917301,58356.93954667826,9.350571921837927e-09,0.03,3.1,19.427298
SNAD115,nugent-sn2p,-19.603598999721136,4.501144339540805e-10,0.1317652484050575,58357.010048710574,8.118868443669069e-09,0.03,3.1,19.427298
