name,model,M,mse,z,t0,amplitude,mwebv,mwr_v,max_mag
SNAD101,nugent-sn1bc,-20.973556005246735,4.980547402801354e-10,0.21998133296263672,58342.50994742611,1.2954399745438556e-08,0.04,3.1,19.28441
SNAD101,nugent-sn2l,-19.7419335797497,5.36465782058377e-10,0.13151045328720154,58345.1506723428,1.764514263864756e-08,0.04,3.1,19.28441
SNAD101,nugent-sn1a,-21.732365978289003,5.377495980850986e-10,0.29913234960320895,58337.67548332584,1.0459466275172718e-08,0.04,3.1,19.28441
SNAD101,nugent-sn2p,-19.706152755865766,5.52501362177514e-10,0.1295242860997113,58345.17107467605,1.4527132962493175e-08,0.04,3.1,19.28441
SNAD101,nugent-sn2n,-21.709714228108133,5.663294385585969e-10,0.2964324430027348,58342.759771231445,7.98763310580956e-09,0.04,3.1,19.28441
SNAD102,nugent-sn1bc,-20.648146530307336,4.941784433651122e-10,0.1768681040830383,58282.68163580214,1.5091536066343993e-08,0.06,3.1,19.082088
SNAD102,nugent-sn2p,-19.677851177260933,5.058230201608123e-10,0.11738280083922348,58285.24589700191,1.42238630025859e-08,0.06,3.1,19.082088
SNAD102,nugent-sn1a,-21.75135797943821,5.222165219530787e-10,0.2779150819915957,58279.080732534516,1.2363220309339176e-08,0.06,3.1,19.082088
SNAD102,nugent-sn2l,-19.839801445771677,5.391580216753984e-10,0.12579086031221798,58285.115948107254,2.0794985500593786e-08,0.06,3.1,19.082088
SNAD102,nugent-sn2n,-16.202163071277823,5.397253176627927e-10,0.025241427117581386,58284.4985419833,1.3915011526248475e-08,0.06,3.1,19.082088
SNAD104,nugent-sn1bc,-20.76577042034607,5.486759814131466e-10,0.19751582888469088,58251.13350974822,8.862290080819316e-09,0.01,3.1,19.230509
SNAD104,nugent-sn1a,-20.967343526611895,6.026830879361477e-10,0.214621272794181,58247.90716725494,7.931298650735655e-09,0.01,3.1,19.230509
SNAD104,nugent-sn2p,-17.609438305660806,6.300169711780697e-10,0.050726238397799175,58254.36489445968,9.736338813018303e-09,0.01,3.1,19.230509
SNAD104,nugent-sn2l,-19.75767287931416,6.516482348454943e-10,0.12939312857203628,58252.4786401833,1.4623531362876636e-08,0.01,3.1,19.230509
SNAD104,nugent-sn2n,-21.583417840271363,6.737367627582521e-10,0.275739620326728,58253.25599360115,5.987430637264326e-09,0.01,3.1,19.230509
SNAD106,nugent-sn2p,-19.350649928596265,9.182479800801741e-11,0.14388165692167243,58225.0425942644,4.064018693752294e-09,0.02,3.1,19.887787
SNAD106,nugent-sn2n,-15.440975234560842,1.0672022348107485e-10,0.025754415902023493,58225.60397447512,3.746523069957895e-09,0.02,3.1,19.887787
SNAD106,nugent-sn1bc,-19.502916075003196,1.077173679756501e-10,0.1534249361623074,58224.01033268975,4.502963909813782e-09,0.02,3.1,19.887787
SNAD106,nugent-sn1a,-20.468397475438618,1.0808490630297349e-10,0.22900552381006842,58219.468902051995,3.6989953739976233e-09,0.02,3.1,19.887787
SNAD106,nugent-sn2l,-15.939380332318965,1.1225452756683959e-10,0.03224504185337687,58225.14599845824,7.56378219019299e-09,0.02,3.1,19.887787
SNAD107,nugent-sn1a,-21.722273737698284,7.883652048251383e-12,0.39566616748035394,58227.703058623614,4.285786240798953e-09,0.01,3.1,20.001299
SNAD107,nugent-sn1bc,-21.98432098158874,8.192218829164342e-12,0.4382334459809353,58231.70132923517,5.987451191260104e-09,0.01,3.1,20.001299
SNAD107,nugent-sn2n,-16.104309592957637,9.022032657917608e-12,0.03654195883294119,58234.39386707156,5.762123937943167e-09,0.01,3.1,20.001299
SNAD107,nugent-sn2l,-20.927750382939106,9.147108413741708e-12,0.288800268016457,58235.21945384836,7.219746398125963e-09,0.01,3.1,20.001299
SNAD107,nugent-sn2p,-22.016833374496702,1.0809554525102275e-11,0.44380087016410696,58233.731805485484,4.476171403997454e-09,0.01,3.1,20.001299
SNAD108,nugent-sn1a,-19.913875209139324,9.731812508251126e-11,0.13033603736636531,58273.5397061511,1.2018354194953594e-08,0.01,3.1,19.091373
