name,model,M,mse,z,t0,amplitude,mwebv,mwr_v,max_mag
SNAD108,nugent-sn1a,-21.877887696470257,1.0769885173740982e-10,0.293494733044036,58271.781843246295,1.0056823052726173e-08,0.01,3.1,19.091373
SNAD108,nugent-sn2n,-15.274296020508135,1.2875777766333535e-10,0.01664075577787446,58278.897724579394,1.3592229699532275e-08,0.01,3.1,19.091373
SNAD108,nugent-sn1bc,-21.421762844825242,1.5065815162279012e-10,0.24413715102364994,58275.90406409836,1.1817186686628663e-08,0.01,3.1,19.091373
SNAD108,nugent-sn2l,-21.893868249727742,1.6014128540772804e-10,0.29537979730674807,58279.51644008821,1.4357167621318224e-08,0.01,3.1,19.091373
SNAD108,nugent-sn2p,-21.879258820800306,2.0508902900085302e-10,0.29365603556549624,58278.70201753886,9.403651688974957e-09,0.01,3.1,19.091373
SNAD111,nugent-sn1a,-19.07791785534263,4.41528959300165e-10,0.12236600185462501,58280.90958833644,6.276826888924556e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2n,-16.144311679801785,4.778950431671074e-10,0.033673855177519314,58285.544161549,5.929010650443898e-09,0.03,3.1,19.77927
SNAD111,nugent-sn1bc,-14.586906893809225,4.795252390538521e-10,0.01664460038978219,58284.42834748937,8.012661060155307e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2l,-17.332027597515275,5.977774279629657e-10,0.05721475995675622,58286.18447247368,9.548565877165217e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2p,-18.965300138223665,6.021234080677188e-10,0.11661295672775421,58286.54999021039,6.983007133579906e-09,0.03,3.1,19.77927
SNAD112,nugent-sn2n,-14.99996943840102,1.0052985124093184e-09,0.015831833255747985,58247.82584051684,1.1779641021190097e-08,0.03,3.1,19.256176
SNAD112,nugent-sn1a,-19.57239815983416,1.1034706152494418e-09,0.12087950330390966,58243.027407453475,1.2972920857980829e-08,0.03,3.1,19.256176
SNAD112,nugent-sn2p,-19.413005081156786,1.1161715983151317e-09,0.11290504985064272,58248.46277624404,1.258437907309595e-08,0.03,3.1,19.256176
SNAD112,nugent-sn1bc,-14.935151318813293,1.2963297917291329e-09,0.015371537443290551,58246.915309383956,1.5630906007511143e-08,0.03,3.1,19.256176
SNAD112,nugent-sn2l,-16.259303508996002,1.4957636141158584e-09,0.028020145853257662,58249.6359461851,2.177402172325896e-08,0.03,3.1,19.256176
