name,model,M,chi2,z,t0,amplitude,mwebv,mwr_v
SNAD130,nugent-sn2n,-13.883380785267525,796.1871943824763,0.0100004169056458,58296.43026848182,1.0935733929932486e-08,0.01,3.1
SNAD131,nugent-sn2n,-13.690186762007272,373.5388877155359,0.0100000008615211,58235.98882785034,1.0018467068978051e-08,0.01,3.1
SNAD132,nugent-sn91bg,-17.022144067529734,289.0026377078028,0.0512368427101365,58244.3171082457,6.699519115276809e-09,0.01,3.1
SNAD133,nugent-sn2l,-18.80121289699287,657.4530679529619,0.0874251558954995,58196.07024841385,2.3106183605328033e-08,0.03,3.1
SNAD134,nugent-sn1a,-19.60510711251393,2909.781207937602,0.1365515517236736,58262.80748170622,9.826862451535476e-09,0.02,3.1
SNAD135,nugent-hyper,-13.234289868037052,947.615425117428,0.0100000607647843,58302.52171282978,6.654794998164205e-09,0.02,3.1
SNAD136,nugent-sn2n,-14.134979776392022,784.8923907894559,0.0100000009272688,58351.04119161998,1.8853374099764467e-08,0.03,3.1
SNAD137,nugent-sn2n,-21.78568423335248,539.951867554978,0.2948438365485626,58237.564653624366,1.1638248917160341e-08,0.03,3.1
SNAD138,nugent-sn2n,-13.330192588117171,446.9215637763749,0.0100000000667302,58293.53375516022,6.064887995148269e-09,0.02,3.1
SNAD139,nugent-sn91t,-20.32585161868068,661.7323108428575,0.1487473030657464,58193.80744367399,1.9693570927751663e-08,0.03,3.1
SNAD140,nugent-sn2n,-21.85116048083662,817.4210478817317,0.299999999356789,58189.39707065432,1.3645801379836961e-08,0.04,3.1
SNAD142,nugent-sn2p,-16.22969440697442,1197.9387368025114,0.0321511824123476,58332.30162530878,1.1353542193125153e-08,0.04,3.1
SNAD143,nugent-sn2p,-14.160290573591148,3680.664928172157,0.0100000000003369,58192.0349468285,2.471029888837293e-08,0.03,3.1
SNAD144,nugent-sn2n,-13.684053574909113,2237.8376110800587,0.0100000000063609,58740.4530625222,4.549046323895674e-07,0.05,3.1
SNAD145,nugent-sn2l,-13.322515650621853,1005.3658893521872,0.0100000414883561,58335.87279647237,5.730410756721005e-09,0.04,3.1
SNAD146,nugent-sn2p,-19.7816296213006,1224.945100640196,0.146518623128088,58189.73346554423,1.0779285650882292e-08,0.03,3.1
SNAD147,nugent-sn2p,-21.25314509008229,1096.7063037638372,0.2618676196633259,58196.90351545233,6.924651181431719e-09,0.01,3.1
SNAD149,nugent-sn1a,-19.787682550640568,2004.3188891011655,0.129479033535158,58341.29027593736,1.0204233880650328e-08,0.04,3.1
SNAD150,nugent-sn1a,-19.786708733421737,1011.3694285282618,0.1261399266230468,58194.16610421488,1.688903095084355e-08,0.03,3.1
SNAD151,nugent-sn2n,-14.071888574507874,1259.8296022492589,0.0100000000045269,58575.48175707951,1.2278235936866876e-08,0.01,3.1
SNAD152,nugent-sn2l,-16.662023116227974,15143.738678616824,0.0224075888516186,58212.7901008835,2.106503808825812e-08,0.01,3.1
SNAD156,nugent-sn2n,-14.382077784658671,2044.209612078257,0.0100000055357047,58222.591467176855,1.521611560020633e-08,0.01,3.1
SNAD157,nugent-sn2n,-21.115906051325005,1907.716089038891,0.2672854470824549,58292.051851090575,5.129727622391737e-09,0.08,3.1
SNAD159,nugent-sn2n,-16.356337244622058,1949.6928630793443,0.0275372150707223,58550.97569107256,8.224169205790432e-09,0.01,3.1
SNAD160,nugent-sn2p,-20.35516227215537,4625.794936485388,0.1533401257957254,58309.95279090761,2.2023384759816143e-08,0.02,3.1
SNAD161,nugent-sn2l,-19.86600900123813,1651.823842021945,0.1365137342243123,58197.0134206554,1.1851554634633592e-08,0.01,3.1
SNAD162,nugent-sn2n,-20.918579986060845,420.0661091151634,0.2999998199701225,58286.45056031523,2.627849093774546e-09,0.03,3.1
SNAD163,nugent-sn2p,-18.112717289065134,651.950333587158,0.0883745534398639,58359.65622381276,5.170274475538967e-09,0.04,3.1
SNAD164,nugent-sn91bg,-19.33373355129372,748.1815989899634,0.1341568585189138,58337.959268782215,7.0986558936699754e-09,0.04,3.1
SNAD165,nugent-sn1bc,-20.360367113306147,283.11252289399323,0.190859507487005,58210.34994951447,1.0986497024337844e-08,0.03,3.1
SNAD166,nugent-sn2p,-18.878249365679068,1055.695256992601,0.114611132749151,58346.20340734211,7.918658856533623e-09,0.02,3.1
SNAD167,nugent-sn2l,-20.396176605819647,4126.8425917918885,0.0884568803371269,58194.88271767697,1.1544370938369683e-07,0.03,3.1
SNAD168,nugent-sn2l,-19.178750637900396,750.0716231874443,0.116265668084026,58194.62459115084,1.7870581285349813e-08,0.02,3.1
SNAD169,nugent-sn2l,-19.35877056604801,1449.0091471663466,0.1235474502398402,58552.403406065365,1.2061072221662616e-08,0.03,3.1
SNAD170,nugent-sn2l,-19.48333674357829,1274.024196058563,0.1162363970234406,58191.24848670903,2.1397071541835458e-08,0.03,3.1
SNAD171,nugent-sn91t,-21.635197589554,3475.577317537658,0.1997986083094638,58179.896666203735,2.54817201763998e-08,0.02,3.1
SNAD172,nugent-sn91t,-21.928926484639284,5072.568995580853,0.2999999998131437,58186.49453069386,1.0408294297584008e-08,0.03,3.1
SNAD173,nugent-sn1a,-20.65421361921349,130.59069423911944,0.1785613365052344,58180.03423853852,2.1171496643603934e-08,0.02,3.1
SNAD174,nugent-sn2l,-21.37000371569623,2170.89022979709,0.1625153854840277,58233.6431411975,5.9344349624106105e-08,0.03,3.1
SNAD175,nugent-sn1a,-19.34556346081167,732.2208815657285,0.1381680136153477,58219.76172744492,8.255047558252711e-09,0.02,3.1
SNAD178,nugent-sn2l,-19.367369649215032,2918.529036010527,0.1340868209106536,58282.2156749658,6.884769582302372e-09,0.03,3.1
SNAD179,nugent-sn1a,-21.57829708636303,2302.718570685652,0.2968603698209134,58232.01382198019,8.311260168198032e-09,0.01,3.1
SNAD180,nugent-sn2p,-20.98125630398581,2098.227812419095,0.2430536204968783,58339.40202009832,7.65367881383039e-09,0.03,3.1
SNAD181,nugent-sn2n,-22.49492848513643,4248.637630330882,0.299999999872806,58311.90750181685,1.664774050683584e-08,0.05,3.1
SNAD182,nugent-sn2l,-19.424366024422977,1146.183852495907,0.1289384168751974,58226.49694669341,1.383369165829452e-08,0.03,3.1
SNAD183,nugent-sn2p,-14.044381185339446,1840.4085795931107,0.0100000027964249,58413.31687568007,1.2668246885544028e-08,0.05,3.1
