"name","model","M","chi2","z","t0","amplitude","mwebv","mwr_v","max_mag"
SNAD108,nugent-sn2n,-15.046219672465934,1362.5480984125716,0.015000001592964218,58278.907457050234,1.3680945120697041e-08,0.01,3.1,19.091373
SNAD108,nugent-sn2l,-20.226959685535743,1384.1216421913389,0.1488177706107023,58280.511439960974,1.6984065927315202e-08,0.01,3.1,19.091373
SNAD108,nugent-sn1a,-19.905514149529193,1498.5957388034096,0.1298732895113875,58273.54688596329,1.2027132374777559e-08,0.01,3.1,19.091373
SNAD108,nugent-sn1bc,-21.41887157478374,1578.7010103341383,0.24385026848110813,58275.914346097175,1.1836791120292155e-08,0.01,3.1,19.091373
SNAD108,nugent-sn2p,-19.62990722004589,3211.5317126292175,0.11545540533034558,58278.879475560076,9.970446968166346e-09,0.01,3.1,19.091373
SNAD111,nugent-sn2l,-17.372052008783637,793.0634853422617,0.05823718528496818,58286.17833578461,9.530540112783367e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2n,-14.358322497239275,846.2656780447506,0.015000000396000827,58285.62003427361,6.154191493859363e-09,0.03,3.1,19.77927
SNAD111,nugent-sn1bc,-19.690651276616013,878.5466463751357,0.15862028798456185,58283.217690505575,7.48044167825509e-09,0.03,3.1,19.77927
SNAD111,nugent-sn2p,-18.965760833497722,1131.5461908209625,0.11663596395653092,58286.54317191944,6.9898780170713726e-09,0.03,3.1,19.77927
SNAD111,nugent-sn1a,-19.524837056638898,5799.311912377165,0.14792747236359396,58463.02281170981,-1.7397227784190545e-10,0.03,3.1,19.77927
SNAD112,nugent-sn1a,-19.573643756676812,945.2077029573451,0.12094385781424073,58243.03024000411,1.2958841953275002e-08,0.03,3.1,19.256176
SNAD112,nugent-sn2l,-16.10656847829929,1479.5923791163902,0.026152938761104454,58249.67717394238,2.1739464327417783e-08,0.03,3.1,19.256176
SNAD112,nugent-sn1bc,-14.881416711434124,1488.7241662704396,0.01500000185915374,58246.911390427675,1.5635388802718684e-08,0.03,3.1,19.256176
SNAD112,nugent-sn2n,-14.881416440136608,2587.6785026725183,0.015000000005935727,58247.842548797635,1.1798096890194383e-08,0.03,3.1,19.256176
SNAD112,nugent-sn2p,-19.41476586916237,3942.7743694352334,0.11299037011941485,58248.413700808844,1.2600121665548938e-08,0.03,3.1,19.256176
